negative_keyword,match_type
jobs,Phrase
careers,Phrase
second hand,Phrase
used,Phrase
refurbished,Phrase
free download,Phrase
manual pdf,Phrase
driver download,Phrase
firmware download,Phrase
repair service,Phrase
tech support phone number,Phrase
