"priority","code","supplierCode","manufacturer","description","currentUrl","width","height","issues","officialSite","searchQuery","searchUrl"
"170","CLU101A3","LU101A3","Canon","A3 Professional Luster Texture 260 Gsm 20 Sheets Per Pack for Pixma Pro","","","","no_image;unknown_dimensions","canon.com.au","site:canon.com.au Canon CLU101A3 LU101A3 product image","https://www.google.com/search?tbm=isch&q=site%3Acanon.com.au%20Canon%20CLU101A3%20LU101A3%20product%20image"
"170","CMC100G420-46M1","9200080005","Canon","Universal Matt Coated Paper 10 0GSM 420MM X 46M BOX OF 4","","","","no_image;unknown_dimensions","canon.com.au","site:canon.com.au Canon CMC100G420-46M1 9200080005 product image","https://www.google.com/search?tbm=isch&q=site%3Acanon.com.au%20Canon%20CMC100G420-46M1%209200080005%20product%20image"
"170","CMC-G01","MC-G01","Canon","Canon MC-G01 Maintenance Cartridge for GX6060 / GX7060","","","","no_image;unknown_dimensions","canon.com.au","site:canon.com.au Canon CMC-G01 MC-G01 product image","https://www.google.com/search?tbm=isch&q=site%3Acanon.com.au%20Canon%20CMC-G01%20MC-G01%20product%20image"
"170","CMC-G02","MC-G02","Canon","MC-G02 Maintenance Cartridge","","","","no_image;unknown_dimensions","canon.com.au","site:canon.com.au Canon CMC-G02 MC-G02 product image","https://www.google.com/search?tbm=isch&q=site%3Acanon.com.au%20Canon%20CMC-G02%20MC-G02%20product%20image"
"170","CMC-G07","MC-G07","Canon","Canon MC-G07 Maintenance Cartridge","","","","no_image;unknown_dimensions","canon.com.au","site:canon.com.au Canon CMC-G07 MC-G07 product image","https://www.google.com/search?tbm=isch&q=site%3Acanon.com.au%20Canon%20CMC-G07%20MC-G07%20product%20image"
"170","CPAPM814-50M1","97074827","Canon","IJM022-841MM 120M Papm Standard Plus Paper 90 G/m Standard Plus Paper 90 G/m","","","","no_image;unknown_dimensions","canon.com.au","site:canon.com.au Canon CPAPM814-50M1 97074827 product image","https://www.google.com/search?tbm=isch&q=site%3Acanon.com.au%20Canon%20CPAPM814-50M1%2097074827%20product%20image"
"170","CPAPM914-120M1","97074737","Canon","IJM022-914MM 120M Papm Standard Plus Paper 90 G/m Standard Plus Paper 90 G/m","","","","no_image;unknown_dimensions","canon.com.au","site:canon.com.au Canon CPAPM914-120M1 97074737 product image","https://www.google.com/search?tbm=isch&q=site%3Acanon.com.au%20Canon%20CPAPM914-120M1%2097074737%20product%20image"
"170","CPCAD841-150M42","9200060144","Canon","Ijm Cad 80GSM 841MM X 150M Black Label Zero - 42 Rolls","","","","no_image;unknown_dimensions","canon.com.au","site:canon.com.au Canon CPCAD841-150M42 9200060144 product image","https://www.google.com/search?tbm=isch&q=site%3Acanon.com.au%20Canon%20CPCAD841-150M42%209200060144%20product%20image"
"170","CPF-07","PF-07","Canon","Print Head for Gp Range Range","","","","no_image;unknown_dimensions","canon.com.au","site:canon.com.au Canon CPF-07 PF-07 product image","https://www.google.com/search?tbm=isch&q=site%3Acanon.com.au%20Canon%20CPF-07%20PF-07%20product%20image"
"170","CPFI-120FP","PFI-120FP","Canon","PFI-120FP Fluorescent Pink Ink for Gp Range - 130ML for Gp Range - 130ML","","","","no_image;unknown_dimensions","canon.com.au","site:canon.com.au Canon CPFI-120FP PFI-120FP product image","https://www.google.com/search?tbm=isch&q=site%3Acanon.com.au%20Canon%20CPFI-120FP%20PFI-120FP%20product%20image"
