code,manufacturer,description,imageCount,primaryImage
AK-C313W-2WHITE,Akuvox,2-WIRE SIP Indoor Unit with WI-FI in White (Linux Version),3,https://www.alloys.com.au/Images/ProductImages/Original/C313W.JPG
AK-C313W-WHITE,Akuvox,"7"" SIP Indoor Unit with WI-FI in White (Linux Version)",3,https://www.alloys.com.au/Images/ProductImages/Original/C313W.JPG
AK-C315S-SILVER,Akuvox,"7"" SIP Indoor Unit in Silver (Android Version)",3,https://www.alloys.com.au/Images/ProductImages/Original/2019102501290924.png
AK-C319A-WHITE,Akuvox,"10"" SIP Indoor Unit with WI-FI and Camera in White (Android 9 Version)",3,https://www.alloys.com.au/Images/ProductImages/Original/2022060116170187.png
AK-DS01,Akubela,Akubela Desktop Stand for KS41 PS51 PG71 Eu Standard Series.,3,https://www.alloys.com.au/Images/ProductImages/Original/akubela-ak-br-ds01-desktop-stand-specific-for-home-automation-monitors.jpg
AK-E12S,Akuvox,SIP Video Door Bell with Relay,3,https://www.alloys.com.au/Images/ProductImages/Original/2022031118133562.png
AK-E16C,Akuvox,SIP Door Phone with Facial Recognition,3,https://www.alloys.com.au/Images/ProductImages/Original/2021010818514649.png
AK-E18C,Akuvox,SIP Door Phone with Facial Recognition,3,https://www.alloys.com.au/Images/ProductImages/Original/2022011617371062.png
AK-E20S,Akuvox,Push Button Emergency Station,3,https://www.alloys.com.au/Images/ProductImages/Original/2023070318574580.png
AK-E21V,Akuvox,Vandal Resistant SIP Call Station,2,https://www.alloys.com.au/Images/ProductImages/Original/2019122516234848.png
AK-EC33,Akuvox,Elevator Controller,2,https://www.alloys.com.au/Images/ProductImages/Original/2023020717312020.png
AK-G31,Akubela,Akubela Gateway G31 Supports Zigbee 3.0 WI-FI and Ethernet,4,https://www.alloys.com.au/Images/ProductImages/Original/AK-G31-black_2.png
AK-IT88A-ONWALL,Akuvox,"10"" SIP Indoor Unit (Android Version)",3,https://www.alloys.com.au/Images/ProductImages/Original/2022072518304358.png
AK-IT88P-ONWALL,Akuvox,"10"" HD Indoor Monitor (Android Version)",3,https://www.alloys.com.au/Images/ProductImages/Original/2022072518304358.png
AK-IT88S-INWALL,Akuvox,"10"" SIP Indoor Unit (Android Version)",3,https://www.alloys.com.au/Images/ProductImages/Original/2022072518304358.png
AK-KS41-POE,Akubela,Akubela Linux Based Center Panel with Screen and 2-GANG Switch Eu Standard POE,3,https://www.alloys.com.au/Images/ProductImages/Original/AK-KS41-POE-EU-F.jpg
AK-MD2M-INWALLK,Akuvox,TWO-MODULE IN-WALL Mounting Box for MD06 + MD12,2,https://www.alloys.com.au/Images/ProductImages/Original/Akuvox-MD06-MD12-2Module-In-Wall-Box_2-500x500.jpg
AK-MSA201-Z,Akubela,Akubela Presence Detector,6,https://www.alloys.com.au/Images/ProductImages/Original/AK-MSA201-Z.png
AK-NC-2,Akuvox,2-WIRE IP Network Converter,3,https://www.alloys.com.au/Images/ProductImages/Original/nc2.jpg
AK-NK-2,Akuvox,2-WIRE IP Network Converter Kit 1 X AK-NC-2 1 X AK-NX-2,4,https://www.alloys.com.au/Images/ProductImages/Original/AK-NK-2
AK-NS-2,Akuvox,2-WIRE IP Network Switch,4,https://www.alloys.com.au/Images/ProductImages/Original/akuvox-ns-2.jpg
AK-PG71N-POE-US-W,Akubela,Akubela 8-INCH Touch Screen Andriod Based Control Pannel POE - White,3,https://www.alloys.com.au/Images/ProductImages/Original/PG71N-F_2.png
AK-PH81-POE-ST,Akubela,Akubela 10.36 Inch Touch Screen with Metal Frame POE,3,https://www.alloys.com.au/Images/ProductImages/Original/AK-PH81-POE-ST-F_2.png
AK-PH81-POE-ST-W,Akubela,Akubela 10.36 Inch Touch Screen with Metal Frame POE - White,2,https://www.alloys.com.au/Images/ProductImages/Original/PH81-F.png
AK-PHX1-KNX-EU,Akubela,"Akubela 10.36"" Touch Screen with Cam in Grey Zigbee Gateway (Android 12 Version)",3,https://www.alloys.com.au/Images/ProductImages/Original/AK-PHX1-KNX-EU-F_2.png
AK-PS51-KNX-EU,Akubela,"Akubela 4"" Touch Screen 2 Gang in Grey Zigbee Gateway (Android Version)",5,https://www.alloys.com.au/Images/ProductImages/Original/AK-PS51-KNX-EU-F.jpg
AK-PS51-POE-EU,Akubela,"Akubela 4"" Touch Screen with POE in Grey Zigbee Gateway (Android 10 Version) POE",3,https://www.alloys.com.au/Images/ProductImages/Original/AK-PS51-POE-EU-W-F_2.png
AK-PS51-POE-EU-W,Akubela,"Akubela 4"" Touch Screen with POE in White Zigbee Gateway (Android 10 Version) POE",2,https://www.alloys.com.au/Images/ProductImages/Original/AK-PS51-POE-EU-W-F_2.png
AK-PS51-R2-EU,Akubela,"Akubela 4"" Touch Screen in Grey Zigbee Gateway (Android 10 Version) 240V",5,https://www.alloys.com.au/Images/ProductImages/Original/AK-PS51-R2-EU-F.jpg
AK-R20A-ONWALL,Akuvox,SIP Intercom with One Button (Video & Card Reader),3,https://www.alloys.com.au/Images/ProductImages/Original/r20a.JPG
